metodo_ordenacao;tipo_array;tamanho_array;dt_inicio;dt_fim;segundos_totais
quick;Aleatório;1000;2022-09-07 20:15:45;2022-09-07 20:15:45;0.002997
quick;Crescente;1000;2022-09-07 20:15:45;2022-09-07 20:15:45;0.00101
quick;Decrescente;1000;2022-09-07 20:15:45;2022-09-07 20:15:45;0.001491
quick;Aleatório;10000;2022-09-07 20:15:45;2022-09-07 20:15:45;0.032145
quick;Crescente;10000;2022-09-07 20:15:45;2022-09-07 20:15:45;0.022443
quick;Decrescente;10000;2022-09-07 20:15:45;2022-09-07 20:15:45;0.022473
quick;Aleatório;100000;2022-09-07 20:15:45;2022-09-07 20:15:45;0.375561
quick;Crescente;100000;2022-09-07 20:15:45;2022-09-07 20:15:46;0.296617
quick;Decrescente;100000;2022-09-07 20:15:46;2022-09-07 20:15:46;0.284804
bubble;Aleatório;1000;2022-09-07 20:15:46;2022-09-07 20:15:46;0.106249
bubble;Crescente;1000;2022-09-07 20:15:46;2022-09-07 20:15:46;0.050571
bubble;Decrescente;1000;2022-09-07 20:15:46;2022-09-07 20:15:46;0.141581
bubble;Aleatório;10000;2022-09-07 20:15:46;2022-09-07 20:15:56;9.539783
bubble;Crescente;10000;2022-09-07 20:15:56;2022-09-07 20:16:01;5.112359
bubble;Decrescente;10000;2022-09-07 20:16:01;2022-09-07 20:16:15;14.229089
bubble;Aleatório;100000;2022-09-07 20:16:15;2022-09-07 20:32:49;994.183949
bubble;Crescente;100000;2022-09-07 20:32:49;2022-09-07 20:41:36;527.096857
bubble;Decrescente;100000;2022-09-07 20:41:36;2022-09-07 21:06:36;1499.362124
selection;Aleatório;1000;2022-09-07 21:06:36;2022-09-07 21:06:36;0.075712
selection;Crescente;1000;2022-09-07 21:06:36;2022-09-07 21:06:36;0.064297
selection;Decrescente;1000;2022-09-07 21:06:36;2022-09-07 21:06:36;0.059608
selection;Aleatório;10000;2022-09-07 21:06:36;2022-09-07 21:06:41;4.920917
selection;Crescente;10000;2022-09-07 21:06:41;2022-09-07 21:06:46;4.898455
selection;Decrescente;10000;2022-09-07 21:06:46;2022-09-07 21:06:51;4.964943
selection;Aleatório;100000;2022-09-07 21:06:51;2022-09-07 21:14:40;469.484341
selection;Crescente;100000;2022-09-07 21:14:40;2022-09-07 21:22:47;486.311838
selection;Decrescente;100000;2022-09-07 21:22:47;2022-09-07 21:31:04;497.467428
insertion;Aleatório;1000;2022-09-07 21:31:04;2022-09-07 21:31:04;0.091522
insertion;Crescente;1000;2022-09-07 21:31:04;2022-09-07 21:31:04;0.0
insertion;Decrescente;1000;2022-09-07 21:31:04;2022-09-07 21:31:05;0.188211
insertion;Aleatório;10000;2022-09-07 21:31:05;2022-09-07 21:31:14;9.370455
insertion;Crescente;10000;2022-09-07 21:31:14;2022-09-07 21:31:14;0.001842
insertion;Decrescente;10000;2022-09-07 21:31:14;2022-09-07 21:31:32;17.822269
insertion;Aleatório;100000;2022-09-07 21:31:32;2022-09-07 21:47:38;966.315678
insertion;Crescente;100000;2022-09-07 21:47:38;2022-09-07 21:47:38;0.013905
insertion;Decrescente;100000;2022-09-07 21:47:38;2022-09-07 22:16:47;1749.128263
merge;Aleatório;1000;2022-09-07 22:16:47;2022-09-07 22:16:47;0.004
merge;Crescente;1000;2022-09-07 22:16:47;2022-09-07 22:16:47;0.002618
merge;Decrescente;1000;2022-09-07 22:16:47;2022-09-07 22:16:47;0.003666
merge;Aleatório;10000;2022-09-07 22:16:47;2022-09-07 22:16:47;0.056013
merge;Crescente;10000;2022-09-07 22:16:47;2022-09-07 22:16:47;0.044056
merge;Decrescente;10000;2022-09-07 22:16:47;2022-09-07 22:16:47;0.044806
merge;Aleatório;100000;2022-09-07 22:16:47;2022-09-07 22:16:48;0.690791
merge;Crescente;100000;2022-09-07 22:16:48;2022-09-07 22:16:49;0.563015
merge;Decrescente;100000;2022-09-07 22:16:49;2022-09-07 22:16:49;0.521281
